Date,Index
20001124,13737.46
20001127,12251.07
20001128,12007.27
20001129,12476.76
20001130,12660.17
20001201,12358.86
20001204,11794.06
20001205,12423.86
20001206,12615.19
20001207,12664.38
20001208,13112.70
20001211,12707.52
20001212,13072.23
20001213,13806.89
20001214,14214.19
20001215,14107.58
20001218,13890.33
20001219,13743.09
20001220,13694.99
20001221,13510.11
20001222,13924.87
20001225,13924.87
20001226,13948.54
20001227,14262.38
20001228,13757.49
20001229,14310.54
20010101,14310.54
20010102,16955.13
20010103,15603.81
20010104,17613.58
20010105,17451.53
20010108,16556.27
20010109,16784.75
20010110,17392.35
20010111,17950.65
20010112,17334.94
20010115,17334.94
20010116,17634.84
20010117,18160.35
20010118,16694.81
20010119,16337.54
20010122,15672.61
20010123,16075.39
20010124,15601.17
20010125,15231.42
20010126,16213.85
20010129,16721.34
20010130,15565.90
20010131,15358.87
20010201,15054.76
20010202,14655.81
20010205,15064.71
20010206,15156.60
20010207,15873.51
20010208,17022.75
20010209,17206.60
20010212,17468.14
20010213,16917.89
20010214,15928.20
20010215,17044.76
20010216,17337.93
20010219,17337.93
20010220,17239.11
20010221,17327.03
20010222,18266.15
20010223,18246.06
20010226,18072.72
20010227,18468.51
20010228,16344.63
20010301,15973.61
20010302,15625.39
20010305,14964.43
20010306,14582.84
20010307,14843.87
20010308,14573.71
20010309,14860.82
20010312,15049.55
20010313,14951.73
20010314,16052.17
20010315,17130.88
20010316,18309.48
20010319,17972.59
20010320,17057.78
20010321,18552.05
20010322,20882.18
20010323,19706.52
20010326,17865.93
20010327,17526.48
20010328,18844.47
20010329,19833.80
20010330,23546.69
20010402,23593.78
20010403,22402.30
20010404,20912.54
20010405,20674.14
20010406,21480.43
20010409,21557.76
20010410,21689.26
20010411,21049.43
20010412,19948.55
20010413,19948.55
20010416,19978.47
20010417,20032.41
20010418,18149.36
20010419,19062.28
20010420,19607.46
20010423,19166.29
20010424,18765.71
20010425,18803.25
20010426,18248.55
20010427,18951.12
20010430,17234.15
20010501,17365.13
20010502,16799.02
20010503,17499.54
20010504,16862.56
20010507,17056.48
20010508,17561.35
20010509,18098.73
20010510,18310.48
20010511,17752.01
20010514,16656.71
20010515,16759.99
20010516,17346.59
20010517,16435.89
20010518,19484.75
20010521,20069.29
20010522,20043.20
20010523,19311.62
20010524,18450.32
20010525,18728.92
20010528,18728.92
20010529,17258.70
20010530,16901.45
20010531,17190.46
20010601,16241.55
20010604,16335.75
20010605,15994.33
20010606,17177.91
20010607,17191.66
20010608,17638.64
20010611,18573.49
20010612,18460.19
20010613,17959.92
20010614,17065.51
20010615,17620.14
20010618,16548.84
20010619,17369.66
20010620,19261.22
20010621,18053.54
20010622,20407.72
20010625,20036.30
20010626,19154.70
20010627,20210.13
20010628,20608.27
20010629,20787.56
20010702,19376.08
20010703,19629.91
20010704,19629.91
20010705,20503.44
20010706,19521.33
20010709,20040.59
20010710,19994.50
20010711,19644.60
20010712,21502.98
20010713,21995.39
20010716,21163.97
20010717,21697.30
20010718,20911.86
20010719,21714.87
20010720,20266.49
20010723,20254.33
20010724,19831.02
20010725,19716.00
20010726,19577.98
20010727,20216.23
20010730,20788.34
20010731,20927.63
20010801,20517.45
20010802,19573.64
20010803,19221.32
20010806,19484.65
20010807,18978.05
20010808,19573.96
20010809,19630.72
20010810,21083.40
20010813,21627.35
20010814,20658.44
20010815,21199.69
20010816,20640.02
20010817,21162.22
20010820,19223.76
20010821,19256.44
20010822,18536.25
20010823,18816.14
20010824,17553.58
20010827,16603.93
20010828,17659.94
20010829,18150.89
20010830,19112.88
20010831,18738.27
20010903,18738.27
20010904,17975.62
20010905,18212.90
20010906,19209.15
20010907,21335.60
20010910,20096.00
20010911,18976.66
20010912,18976.66
20010913,21324.07
20010914,22816.75
20010917,22830.44
20010918,22097.59
20010919,23038.94
20010920,22647.28
20010921,22728.81
20010924,22931.10
20010925,22387.63
20010926,22226.44
20010927,22482.04
20010928,23412.80
20011001,23588.40
20011002,22538.71
